timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, pstate, clocks.current.sm [MHz]
2025/12/20 09:26:05.174, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:10.175, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:15.176, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:20.176, 0, 85 %, 24 %, 103757 MiB, 143771 MiB, 49, P0, 1980 MHz
2025/12/20 09:26:25.177, 0, 86 %, 24 %, 103757 MiB, 143771 MiB, 48, P0, 1980 MHz
2025/12/20 09:26:30.178, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 41, P0, 1980 MHz
2025/12/20 09:26:35.686, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 38, P0, 345 MHz
2025/12/20 09:26:40.688, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 37, P0, 345 MHz
2025/12/20 09:26:45.689, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 36, P0, 345 MHz
2025/12/20 09:26:50.690, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 35, P0, 345 MHz
2025/12/20 09:26:55.691, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 34, P0, 345 MHz
2025/12/20 09:27:00.692, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 33, P0, 345 MHz
2025/12/20 09:27:05.693, 0, 0 %, 0 %, 0 MiB, 143771 MiB, 33, P0, 345 MHz
