Step,Training Loss,reward,reward_std,completions / mean_length,completions / min_length,completions / max_length,completions / clipped_ratio,completions / mean_terminated_length,completions / min_terminated_length,completions / max_terminated_length,kl,rewards / function_works / mean,rewards / function_works / std,rewards / no_cheating / mean,rewards / no_cheating / std,rewards / strategy_succeeds / mean,rewards / strategy_succeeds / std
78,0.000156,8.200000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.156020,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
79,0.000166,32.000000,0.000000,220.250000,218.000000,221.000000,0.000000,220.250000,218.000000,221.000000,0.165843,1.000000,0.000000,1.000000,0.000000,30.000000,0.000000
80,0.000372,8.200000,0.000000,223.250000,220.000000,227.000000,0.000000,223.250000,220.000000,227.000000,0.371950,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
81,0.000146,7.000000,0.000000,221.000000,221.000000,221.000000,0.000000,221.000000,221.000000,221.000000,0.146172,1.000000,0.000000,1.000000,0.000000,5.000000,0.000000
82,0.000214,8.000000,0.000000,220.500000,218.000000,222.000000,0.000000,220.500000,218.000000,222.000000,0.213839,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
83,0.000143,8.200000,0.000000,220.500000,220.000000,221.000000,0.000000,220.500000,220.000000,221.000000,0.143360,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
84,0.000192,7.800000,0.000000,220.250000,219.000000,222.000000,0.000000,220.250000,219.000000,222.000000,0.191590,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
85,0.000153,8.600000,0.000000,220.500000,219.000000,221.000000,0.000000,220.500000,219.000000,221.000000,0.152670,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
86,0.000173,8.400000,0.000000,220.000000,218.000000,221.000000,0.000000,220.000000,218.000000,221.000000,0.172946,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
87,0.000405,8.600000,0.000000,231.500000,218.000000,243.000000,0.000000,231.500000,218.000000,243.000000,0.405353,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
88,0.000210,7.800000,0.000000,221.500000,220.000000,224.000000,0.000000,221.500000,220.000000,224.000000,0.209774,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
89,0.000197,8.200000,0.000000,221.750000,221.000000,224.000000,0.000000,221.750000,221.000000,224.000000,0.197053,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
90,0.000811,8.200000,0.000000,231.000000,217.000000,265.000000,0.000000,231.000000,217.000000,265.000000,0.811066,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
91,0.000175,8.600000,0.000000,221.500000,221.000000,223.000000,0.000000,221.500000,221.000000,223.000000,0.174844,1.000000,0.000000,1.000000,0.000000,6.600000,0.000000
92,0.000650,8.400000,0.000000,228.500000,219.000000,253.000000,0.000000,228.500000,219.000000,253.000000,0.649949,1.000000,0.000000,1.000000,0.000000,6.400000,0.000000
93,0.000573,7.000000,1.200000,229.000000,221.000000,249.000000,0.000000,229.000000,221.000000,249.000000,0.572876,1.000000,0.000000,1.000000,0.000000,5.000000,1.200000
94,0.000234,7.400000,0.000000,223.000000,218.000000,227.000000,0.000000,223.000000,218.000000,227.000000,0.233886,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
95,0.000228,7.400000,0.000000,220.000000,217.000000,223.000000,0.000000,220.000000,217.000000,223.000000,0.228070,1.000000,0.000000,1.000000,0.000000,5.400000,0.000000
96,0.000156,7.200000,0.000000,220.000000,219.000000,221.000000,0.000000,220.000000,219.000000,221.000000,0.156376,1.000000,0.000000,1.000000,0.000000,5.200000,0.000000
97,0.000690,8.200000,0.000000,229.750000,221.000000,256.000000,0.000000,229.750000,221.000000,256.000000,0.689687,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
98,0.000225,8.000000,0.000000,220.250000,218.000000,223.000000,0.000000,220.250000,218.000000,223.000000,0.224995,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000
99,0.000223,7.800000,0.000000,220.750000,218.000000,223.000000,0.000000,220.750000,218.000000,223.000000,0.222889,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
100,0.000238,8.200000,0.000000,220.250000,218.000000,221.000000,0.000000,220.250000,218.000000,221.000000,0.237804,1.000000,0.000000,1.000000,0.000000,6.200000,0.000000
101,0.000182,7.800000,0.000000,221.500000,218.000000,223.000000,0.000000,221.500000,218.000000,223.000000,0.182423,1.000000,0.000000,1.000000,0.000000,5.800000,0.000000
